module,file,line,operation,has_repo,risk_level
system,server/modules/system/models/securityEvents.model.js,210,SELECT,no,medium
reports,server/modules/reports/models/reportExecution.model.js,250,SELECT,no,medium
reports,server/modules/reports/models/reportExport.model.js,356,SELECT,no,medium
documents,server/modules/documents/models/idCard.model.js,411,SELECT,no,medium
clinic,server/modules/clinic/models/Prescription.js,385,SELECT,no,medium
documents,server/modules/documents/models/idCardBatch.model.js,337,SELECT,no,medium
compliance,server/services/complianceReportingService.js,131,SELECT,no,medium
compliance,server/services/complianceReportingService.js,137,SELECT,no,medium
compliance,server/services/complianceReportingService.js,678,SELECT,no,medium
compliance,server/services/complianceReportingService.js,695,SELECT,no,medium
alerts,server/services/alertSystem.service.js,375,SELECT,no,medium
data-retention,server/services/dataRetentionService.js,161,SELECT,no,medium
data-retention,server/services/dataRetentionService.js,193,SELECT,no,medium
data-retention,server/services/dataRetentionService.js,266,SELECT,no,high
data-retention,server/services/dataRetentionService.js,548,SELECT,no,medium
data-retention,server/services/dataRetentionService.js,571,SELECT,no,medium
data-retention,server/services/dataRetentionService.js,677,SELECT,no,medium
data-retention,server/services/dataRetentionService.js,678,SELECT,no,medium
security,server/services/securityEventTracking.service.js,244,SELECT,no,medium
email-service,server/modules/email-service/services/emailService.js,211,SELECT,no,medium
theme,server/modules/theme/services/ThemeService.js,334,SELECT,yes,low
platform-tenants,server/platform/tenants/models/Tenant.sequelize.js,215,SELECT,yes,low
platform-tenants,server/platform/tenants/models/Tenant.sequelize.js,220,SELECT,yes,low
email-service,server/modules/email-service/models/EmailLog.js,100,SELECT,no,medium
email-service,server/modules/email-service/models/EmailLog.js,108,SELECT,no,medium
tasks,server/modules/tasks/models/TaskReport.js,210,SELECT,yes,low
tasks,server/modules/tasks/services/TaskService.js,29,SELECT,yes,low
system,server/modules/system/models/backupLog.model.js,283,SELECT,no,medium
system,server/modules/system/models/backupLog.model.js,316,SELECT,no,medium
system,server/modules/system/models/backupLog.model.js,327,SELECT,no,medium
system,server/modules/system/models/performanceMetrics.model.js,146,SELECT,no,medium
system,server/modules/system/models/systemAlerts.model.js,307,SELECT,no,medium
system,server/modules/system/models/systemAlerts.model.js,314,SELECT,no,medium
system,server/modules/system/models/systemAlerts.model.js,325,SELECT,no,medium
reports,server/modules/reports/models/reportExecution.model.js,235,SELECT,no,medium
reports,server/modules/reports/models/reportExecution.model.js,276,SELECT,no,medium
reports,server/modules/reports/models/reportExport.model.js,326,SELECT,no,medium
reports,server/modules/reports/models/reportExport.model.js,386,SELECT,no,medium
reports,server/modules/reports/models/reportConfig.model.js,300,SELECT,no,medium
reports,server/modules/reports/models/report.model.js,254,SELECT,no,medium
reports,server/modules/reports/models/report.model.js,265,SELECT,no,medium
reports,server/modules/reports/models/report.model.js,279,SELECT,no,medium
reports,server/modules/reports/models/report.model.js,293,SELECT,no,medium
system,server/modules/system/models/securityEvents.model.js,202,SELECT,no,medium
surveys,server/modules/surveys/services/SurveyService.js,27,SELECT,yes,low
surveys,server/modules/surveys/models/surveyNotification.model.js,208,SELECT,yes,low
surveys,server/modules/surveys/models/survey.model.js,209,SELECT,yes,low
dashboard,server/modules/dashboard/models/dashboardConfig.model.js,101,SELECT,no,medium
payroll,server/modules/payroll/services/PayrollService.js,26,SELECT,yes,low
platform-system,server/platform/system/models/securityAudit.model.js,153,SELECT,no,medium
platform-system,server/platform/system/models/securityAudit.model.js,166,SELECT,no,medium
platform-system,server/platform/system/models/securityAudit.model.js,199,SELECT,no,medium
platform-system,server/platform/system/models/securityAudit.model.js,213,SELECT,no,medium
platform-system,server/platform/system/models/permissions.model.js,152,SELECT,no,medium
platform-system,server/platform/system/models/permissions.model.js,180,SELECT,no,medium
alerts,server/services/alertSystem.service.js,141,UPDATE,no,medium
alerts,server/services/alertSystem.service.js,156,UPDATE,no,medium
alerts,server/services/alertSystem.service.js,387,UPDATE,no,medium
alerts,server/services/alertSystem.service.js,410,UPDATE,no,medium
platform-companies,server/services/CompanyService.js,198,UPDATE,yes,low
